2016-03-26 11:07:46 status unpacked libdrm-intel1 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm-intel1 2.4.23-1ubuntu6
2016-03-26 11:07:46 install libdrm-nouveau1a <none> 2.4.23-1ubuntu6
2016-03-26 11:07:46 status half-installed libdrm-nouveau1a 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm-nouveau1a 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm-nouveau1a 2.4.23-1ubuntu6
2016-03-26 11:07:46 install libdrm-radeon1 <none> 2.4.23-1ubuntu6
2016-03-26 11:07:46 status half-installed libdrm-radeon1 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm-radeon1 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm-radeon1 2.4.23-1ubuntu6
2016-03-26 11:07:46 install libdrm2 <none> 2.4.23-1ubuntu6
2016-03-26 11:07:46 status half-installed libdrm2 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm2 2.4.23-1ubuntu6
2016-03-26 11:07:46 status unpacked libdrm2 2.4.23-1ubuntu6
2016-03-26 11:07:46 install libgcc1 <none> 1:4.5.2-8ubuntu4
2016-03-26 11:07:46 status half-installed libgcc1 1:4.5.2-8ubuntu4
2016-03-26 11:07:46 status unpacked libgcc1 1:4.5.2-8ubuntu4
2016-03-26 11:07:46 status unpacked libgcc1 1:4.5.2-8ubuntu4
2016-03-26 11:07:46 install libglib2.0-0 <none> 2.28.6-0ubuntu1
2016-03-26 11:07:46 status half-installed libglib2.0-0 2.28.6-0ubuntu1
2016-03-26 11:07:46 status unpacked libglib2.0-0 2.28.6-0ubuntu1
2016-03-26 11:07:46 status unpacked libglib2.0-0 2.28.6-0ubuntu1
2016-03-26 11:07:46 install libklibc <none> 1.5.20-1ubuntu6
2016-03-26 11:07:46 status half-installed libklibc 1.5.20-1ubuntu6
2016-03-26 11:07:46 status unpacked libklibc 1.5.20-1ubuntu6
2016-03-26 11:07:46 status unpacked libklibc 1.5.20-1ubuntu6
2016-03-26 11:07:46 install liblocale-gettext-perl <none> 1.05-6
2016-03-26 11:07:46 status half-installed liblocale-gettext-perl 1.05-6
2016-03-26 11:07:46 status unpacked liblocale-gettext-perl 1.05-6
2016-03-26 11:07:46 status unpacked liblocale-gettext-perl 1.05-6
2016-03-26 11:07:46 install liblzma2 <none> 5.0.0-2
2016-03-26 11:07:46 status half-installed liblzma2 5.0.0-2
2016-03-26 11:07:46 status unpacked liblzma2 5.0.0-2
2016-03-26 11:07:46 status unpacked liblzma2 5.0.0-2
2016-03-26 11:07:46 install libncurses5 <none> 5.7+20101128-1
2016-03-26 11:07:46 status half-installed libncurses5 5.7+20101128-1
2016-03-26 11:07:47 status unpacked libncurses5 5.7+20101128-1
2016-03-26 11:07:47 status unpacked libncurses5 5.7+20101128-1
2016-03-26 11:07:47 install libncursesw5 <none> 5.7+20101128-1
2016-03-26 11:07:47 status half-installed libncursesw5 5.7+20101128-1
2016-03-26 11:07:47 status unpacked libncursesw5 5.7+20101128-1
2016-03-26 11:07:47 status unpacked libncursesw5 5.7+20101128-1
2016-03-26 11:07:47 install libnih-dbus1 <none> 1.0.3-1ubuntu1
2016-03-26 11:07:47 status half-installed libnih-dbus1 1.0.3-1ubuntu1
2016-03-26 11:07:47 status unpacked libnih-dbus1 1.0.3-1ubuntu1
2016-03-26 11:07:47 status unpacked libnih-dbus1 1.0.3-1ubuntu1
2016-03-26 11:07:47 install libnih1 <none> 1.0.3-1ubuntu1
2016-03-26 11:07:47 status half-installed libnih1 1.0.3-1ubuntu1
2016-03-26 11:07:47 status unpacked libnih1 1.0.3-1ubuntu1
2016-03-26 11:07:47 status unpacked libnih1 1.0.3-1ubuntu1
2016-03-26 11:07:47 install libpam-modules <none> 1.1.2-2ubuntu8
2016-03-26 11:07:47 status half-installed libpam-modules 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-modules 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-modules 1.1.2-2ubuntu8
2016-03-26 11:07:47 install libpam-modules-bin <none> 1.1.2-2ubuntu8
2016-03-26 11:07:47 status half-installed libpam-modules-bin 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-modules-bin 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-modules-bin 1.1.2-2ubuntu8
2016-03-26 11:07:47 install libpam-runtime <none> 1.1.2-2ubuntu8
2016-03-26 11:07:47 status half-installed libpam-runtime 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-runtime 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam-runtime 1.1.2-2ubuntu8
2016-03-26 11:07:47 install libpam0g <none> 1.1.2-2ubuntu8
2016-03-26 11:07:47 status half-installed libpam0g 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam0g 1.1.2-2ubuntu8
2016-03-26 11:07:47 status unpacked libpam0g 1.1.2-2ubuntu8
2016-03-26 11:07:47 install libpcre3 <none> 8.12-3ubuntu2
2016-03-26 11:07:47 status half-installed libpcre3 8.12-3ubuntu2
2016-03-26 11:07:47 status unpacked libpcre3 8.12-3ubuntu2
2016-03-26 11:07:47 status unpacked libpcre3 8.12-3ubuntu2
2016-03-26 11:07:47 install libplymouth2 <none> 0.8.2-2ubuntu22
2016-03-26 11:07:47 status half-installed libplymouth2 0.8.2-2ubuntu22
2016-03-26 11:07:47 status unpacked libplymouth2 0.8.2-2ubuntu22
2016-03-26 11:07:47 status unpacked libplymouth2 0.8.2-2ubuntu22
2016-03-26 11:07:47 install libpng12-0 <none> 1.2.44-1ubuntu3
2016-03-26 11:07:47 status half-installed libpng12-0 1.2.44-1ubuntu3
2016-03-26 11:07:47 status unpacked libpng12-0 1.2.44-1ubuntu3
2016-03-26 11:07:47 status unpacked libpng12-0 1.2.44-1ubuntu3
2016-03-26 11:07:47 install libselinux1 <none> 2.0.96-1ubuntu2
2016-03-26 11:07:47 status half-installed libselinux1 2.0.96-1ubuntu2
2016-03-26 11:07:47 status unpacked libselinux1 2.0.96-1ubuntu2
2016-03-26 11:07:47 status unpacked libselinux1 2.0.96-1ubuntu2
2016-03-26 11:07:47 install libsepol1 <none> 2.0.41-1
2016-03-26 11:07:47 status half-installed libsepol1 2.0.41-1
2016-03-26 11:07:47 status unpacked libsepol1 2.0.41-1
2016-03-26 11:07:47 status unpacked libsepol1 2.0.41-1
2016-03-26 11:07:47 install libslang2 <none> 2.2.2-4ubuntu2
2016-03-26 11:07:47 status half-installed libslang2 2.2.2-4ubuntu2
2016-03-26 11:07:47 status unpacked libslang2 2.2.2-4ubuntu2
